event_id,issue_id,issue_system_id,issue_type,new_value,old_value,priority,project_id,status
5f204c4ff193693ec07bbd7e,5f204c4ff193693ec07bbd7e,5f204abaf193693ec07b9eb4,Bug,7200,,Major,5e84988880c620a732667310,timeestimate
5f204c51f193693ec07bbda6,5f204c51f193693ec07bbda6,5f204abaf193693ec07b9eb4,Bug,0,900,Major,5e84988880c620a732667310,timeestimate
5f204c51f193693ec07bbda6,5f204c51f193693ec07bbda6,5f204abaf193693ec07b9eb4,Bug,900,,Major,5e84988880c620a732667310,timeestimate
5f204c52f193693ec07bbdb9,5f204c52f193693ec07bbdb9,5f204abaf193693ec07b9eb4,Bug,0,14400,Blocker,5e84988880c620a732667310,timeestimate
5f204c52f193693ec07bbdb9,5f204c52f193693ec07bbdb9,5f204abaf193693ec07b9eb4,Bug,14400,,Blocker,5e84988880c620a732667310,timeestimate
5f204c53f193693ec07bbdce,5f204c53f193693ec07bbdce,5f204abaf193693ec07b9eb4,Improvement,0,1800,Minor,5e84988880c620a732667310,timeestimate
5f204c53f193693ec07bbdce,5f204c53f193693ec07bbdce,5f204abaf193693ec07b9eb4,Improvement,1800,,Minor,5e84988880c620a732667310,timeestimate
5f204c54f193693ec07bbddc,5f204c54f193693ec07bbddc,5f204abaf193693ec07b9eb4,Wish,0,600,Major,5e84988880c620a732667310,timeestimate
5f204c56f193693ec07bbe00,5f204c56f193693ec07bbe00,5f204abaf193693ec07b9eb4,Bug,1800,,Major,5e84988880c620a732667310,timeestimate
5f204c57f193693ec07bbe23,5f204c57f193693ec07bbe23,5f204abaf193693ec07b9eb4,Improvement,0,900,Minor,5e84988880c620a732667310,timeestimate
5f204c59f193693ec07bbe3d,5f204c59f193693ec07bbe3d,5f204abaf193693ec07b9eb4,Improvement,0,5400,Blocker,5e84988880c620a732667310,timeestimate
5f204c59f193693ec07bbe3d,5f204c59f193693ec07bbe3d,5f204abaf193693ec07b9eb4,Improvement,5400,10800,Blocker,5e84988880c620a732667310,timeestimate
5f204c59f193693ec07bbe3d,5f204c59f193693ec07bbe3d,5f204abaf193693ec07b9eb4,Improvement,10800,,Blocker,5e84988880c620a732667310,timeestimate
5f204c5bf193693ec07bbe74,5f204c5bf193693ec07bbe74,5f204abaf193693ec07b9eb4,Bug,0,900,Blocker,5e84988880c620a732667310,timeestimate
5f204c5bf193693ec07bbe74,5f204c5bf193693ec07bbe74,5f204abaf193693ec07b9eb4,Bug,900,,Blocker,5e84988880c620a732667310,timeestimate
5f204c5cf193693ec07bbe82,5f204c5cf193693ec07bbe82,5f204abaf193693ec07b9eb4,Bug,0,1800,Major,5e84988880c620a732667310,timeestimate
5f204c5cf193693ec07bbe82,5f204c5cf193693ec07bbe82,5f204abaf193693ec07b9eb4,Bug,1800,,Major,5e84988880c620a732667310,timeestimate
5f204c5df193693ec07bbea7,5f204c5df193693ec07bbea7,5f204abaf193693ec07b9eb4,Bug,0,7200,Major,5e84988880c620a732667310,timeestimate
5f204c5df193693ec07bbea7,5f204c5df193693ec07bbea7,5f204abaf193693ec07b9eb4,Bug,7200,,Major,5e84988880c620a732667310,timeestimate
5f204c5ff193693ec07bbebe,5f204c5ff193693ec07bbebe,5f204abaf193693ec07b9eb4,Bug,0,7200,Major,5e84988880c620a732667310,timeestimate
5f204c5ff193693ec07bbebe,5f204c5ff193693ec07bbebe,5f204abaf193693ec07b9eb4,Bug,Expert,Intermediate,Major,5e84988880c620a732667310,Complexity
5f204c5ff193693ec07bbebe,5f204c5ff193693ec07bbebe,5f204abaf193693ec07b9eb4,Bug,7200,,Major,5e84988880c620a732667310,timeestimate
5f204c60f193693ec07bbed3,5f204c60f193693ec07bbed3,5f204abaf193693ec07b9eb4,Bug,,10800,Major,5e84988880c620a732667310,timeestimate
5f204c60f193693ec07bbed3,5f204c60f193693ec07bbed3,5f204abaf193693ec07b9eb4,Bug,Novice,Expert,Major,5e84988880c620a732667310,Complexity
5f204c60f193693ec07bbed3,5f204c60f193693ec07bbed3,5f204abaf193693ec07b9eb4,Bug,Expert,,Major,5e84988880c620a732667310,Complexity
5f204c60f193693ec07bbed3,5f204c60f193693ec07bbed3,5f204abaf193693ec07b9eb4,Bug,10800,,Major,5e84988880c620a732667310,timeestimate
5f204c61f193693ec07bbeea,5f204c61f193693ec07bbeea,5f204abaf193693ec07b9eb4,Bug,0,3600,Major,5e84988880c620a732667310,timeestimate
5f204c61f193693ec07bbeea,5f204c61f193693ec07bbeea,5f204abaf193693ec07b9eb4,Bug,3600,7200,Major,5e84988880c620a732667310,timeestimate
5f204c61f193693ec07bbeea,5f204c61f193693ec07bbeea,5f204abaf193693ec07b9eb4,Bug,Expert,,Major,5e84988880c620a732667310,Complexity
